id,CH4_x,CH4_y,CH3O2NO2_x,CH3O2NO2_y,H2_x,H2_y,N2O5_x,N2O5_y,H2O2_x,H2O2_y,CH3OH_x,CH3OH_y,HONO_x,HONO_y,CO_x,CO_y,HO2NO2_x,HO2NO2_y,CH3O_x,CH3O_y,CH3NO3_x,CH3NO3_y,HNO3_x,HNO3_y,CH3OOH_x,CH3OOH_y,HCHO_x,HCHO_y,CH3O2_x,CH3O2_y,NO3_x,NO3_y,OH_x,OH_y,NO2_x,NO2_y,NO_x,NO_y,O3_x,O3_y,HO2_x,HO2_y,
#0,501.7571095007438,217.19019293999142,567.3656919114013,229.17300847708012,423.3720222248588,506.42036679236077,206.16236021094699,279.68615116846064,421.531952509313,438.1223825373743,417.9460680239515,329.6366501539767,348.221749856392,341.97597592301514,301.8449216465042,361.05991112902166,562.0381880303847,319.83983558924683,319.7872642473087,343.3700744749602,380.3898677455225,255.8795559504514,460.8962234960751,389.1521877897622,389.2977604416852,320.55401268896054,406.9021548589101,280.57107447863604,445.8572803932128,315.8737650855031,338,449,359.2726780471473,297.6714897410943,431,240,295,267,508.4979515259773,364.1971357630442,418.1866738718268,373.99254703824994,
#1,478.36515757051575,467.2568496509926,308.92274620006026,334.79833340292106,594.621440186505,359.6605416164936,204.09662423092425,279.84907951663433,528.2883013103578,311.94907036165705,437.89149718679545,365.14615536926635,350.8287530910994,248.81684768746996,398.74901558023925,276.53354298063346,570.8253787797552,211.53588748339465,341.1939496812164,333.89852163920983,392.7531727656389,306.3886805197852,278.51967546412385,310.6238621444225,405.79704345479297,352.8926709744329,401.8752622984166,388.67030617477906,453.8060532196588,351.44001864160566,338,449,367.2163751963834,348.79987536751173,431,240,295,267,496.2523338153817,416.84147215283366,469.4935798571849,330.4275500356786,
#2,401.82706181767827,483.30811942293286,548.5607609035849,321.60852932755563,487.09240221479484,216.13655853771314,548.7488325211143,437.1163984595063,481.7166635825625,309.69748610647537,387.71160050212444,359.6960271302889,338.38830624818195,226.85742481468637,369.94565524470266,269.7105604808035,570.7637966478247,257.9131349137667,286.2211271150189,348.10271400520446,373.38015035643906,303.55279070436296,462.6999622924977,377.49395578756014,360.50156585247015,346.26658389328577,351.27675607780645,382.0970548094044,408.6744828635435,365.7773041319131,338,449,328.56300507113866,333.5698498787909,431,240,295,267,477.36480552606304,408.5942163664413,426.54775848243645,332.65781283003656,
#3,576.9272150946053,300.87461802246975,308.9460983160088,295.54083215743333,560.0095641207193,259.29512638342857,547.5076814072826,443.5145007660427,528.9986086019711,379.0018361822325,445.7961611273874,323.0598792736724,346.14395576118744,226.96753624119034,436.1491435355073,420.48318383917723,319.6672274860507,366.4946274021213,350.6689371131628,351.9699242896563,385.86922482768176,260.18512267882954,274.095513606069,311.9015292197814,414.5985759656478,334.7539737376074,411.76244758920996,289.1320171251505,462.60610960177195,303.52509347274594,338,449,374.75127046668814,328.6040065088864,431,240,295,267,482.03135788331394,433.29514486293294,471.6300554217632,354.8020894947153,
#4,403.9255360847262,168.5493215414765,492.27682029348284,354.6551079239772,195.95230886328008,242.6736598884274,545.8943637250376,431.58797568525443,279.7117233286028,227.20787979605544,371.54331443812094,289.1276856364206,353.3062664774766,311.8084675544989,289.04340943362934,354.245108706432,338.84432991441025,122.36555145667063,310.20339584834807,369.3381791714662,386.91595910060767,250.72294940104908,289.4877779710061,316.81283161170813,378.25457230858285,327.26076005325564,411.9540401909809,304.14353341817474,353.98364604623333,272.9701397734578,338,449,403.1194577362388,355.1856296064652,431,240,295,267,251.85303774858463,329.2110853612806,324.805030471703,277.2832484180717,
#5,502.75058289292195,199.71484478386037,564.3484227405983,201.07381808576528,479.1721321399545,489.1393368694277,553.6786931903488,432.46051201781864,529.9987743710967,361.27179805650206,442.51525257106226,323.88294058718657,345.1467438220183,229.72696842049325,435.1384492729243,420.856800302249,310.3553074828555,346.27135638288803,346.1521712913526,352.69308085293505,384.8905660282758,260.8287370402034,274.1960262686143,307.65775142908035,411.54712427358663,335.4736721380738,408.7651826096077,290.5308901393809,461.3171270074783,304.0700549048349,338,449,372.1370851370137,329.7617743841911,431,240,295,267,488.7440677294299,427.832827317544,467.51879906996606,355.9737048254519,
#6,272.6184184662475,174.36421571157987,394.73924185028363,116.8762094599891,181.37470367407425,288.561080499342,548.1518272373319,428.48244622987744,250.55277246362513,266.21591928526175,353.87291790821274,292.90733041973857,371.5624792480025,282.1050032588279,279.44438431383077,357.4124683544278,332.85960724049244,128.24685599027225,304.1317406818742,369.33684932980793,385.537857288311,251.28995279975265,484.8930776553922,394.40030366758896,363.05123018610027,326.8734277515377,400.84079163362264,303.5147443004417,344.04863873868845,264.44893914858636,338,449,392.2401705799391,351.28534146953393,431,240,295,267,247.69647130173797,333.90752503665203,314.95087293194166,282.5546458972324,
#7,546.6260850406748,277.3651829543933,293.01425020747575,296.69177343211004,542.1153993906287,449.7401179016048,203.92102720387834,284.47065317646064,519.4546360870853,360.26881366734176,423.0342961124819,322.255583536646,343.16644357199687,226.59113590248495,429.25812628913667,417.1459274238498,575.5950783226076,238.59406126087373,328.21425092751633,356.5609887932952,380.4812931817941,255.28478180385534,463.19762518029756,389.87884420836093,393.15782940468904,339.71147703909156,387.1983844353969,292.4920452607786,439.5987977745051,307.3631369698418,338,449,354.86540901775714,331.1258866768644,431,240,295,267,482.1788311770954,425.7453742201237,457.4990042465789,347.67546823177065,
#8,203.01354618533594,331.0334042695346,329.19968784877295,150.04195160788623,223.8494106064286,201.80378215788275,551.2848751804945,427.3788231556002,315.941716935549,214.8030714877316,336.5157313182904,323.65777780709885,366.531802591387,270.42020366427533,433.9533010884258,297.375356140302,446.33780559954187,388.63503717103833,251.14966136562344,368.5060535085895,375.2733675597771,292.3972148393545,485.7498420205961,389.5355500631212,368.18115228512806,332.79787675338184,347.55762364200996,364.6380932099883,320.37066485642526,304.78390443925264,338,449,393.2815966886538,357.2783965213621,431,240,295,267,253.47240577991067,315.0648089299267,332.62002562934117,277.2821094314881,
#9,330.24596219265845,137.80788218872718,491.3960019287675,336.99922760976114,172.7478545413614,333.2985847424204,549.2986127625503,430.4673788742452,235.17707969302973,301.5403118906925,344.93048806141064,283.19633827452554,341.30719230790936,310.7103490126883,279.5336507200266,364.4499750406706,418.97483013570854,397.97464790306657,326.0077562401887,367.2999266117627,380.8134981157166,234.68564135607213,479.5629382095479,390.82305155303453,366.3916174900896,308.9418018433009,394.6152352289024,281.6717236110461,342.2891595008553,251.82468246196242,338,449,393.9921801212838,335.78274130025784,431,240,295,267,284.67843437144154,222.21505756420746,300.7148190883403,297.9282205475183,
